Wholesale price trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20220820114423

Parameters
Date range,01 Jan 2012 - 31 Dec 2021
Region type,Nodes (key nodes)
Time scale,Day
Show,Simple average

Period start,Period end,Region ID,Region,Price ($/MWh)
01/01/2012,02/01/2012,OTA2201,OTA2201 - Otahuhu,48.13
01/01/2012,02/01/2012,WKM2201,WKM2201 - Whakamaru,44.29
01/01/2012,02/01/2012,RDF2201,RDF2201 - Redclyffe,43.76
01/01/2012,02/01/2012,SFD2201,SFD2201 - Stratford,45.24
01/01/2012,02/01/2012,HAY2201,HAY2201 - Haywards,45.06
01/01/2012,02/01/2012,ISL2201,ISL2201 - Islington,54.54
01/01/2012,02/01/2012,BEN2201,BEN2201 - Benmore,52.62
01/01/2012,02/01/2012,INV2201,INV2201 - Invercargill,58.18
02/01/2012,03/01/2012,OTA2201,OTA2201 - Otahuhu,52.67
02/01/2012,03/01/2012,WKM2201,WKM2201 - Whakamaru,48.97
02/01/2012,03/01/2012,RDF2201,RDF2201 - Redclyffe,48.39
02/01/2012,03/01/2012,SFD2201,SFD2201 - Stratford,50.16
02/01/2012,03/01/2012,HAY2201,HAY2201 - Haywards,50.86
02/01/2012,03/01/2012,ISL2201,ISL2201 - Islington,59.05
02/01/2012,03/01/2012,BEN2201,BEN2201 - Benmore,56.92
02/01/2012,03/01/2012,INV2201,INV2201 - Invercargill,63.37
03/01/2012,04/01/2012,OTA2201,OTA2201 - Otahuhu,50.41
03/01/2012,04/01/2012,WKM2201,WKM2201 - Whakamaru,47.08
03/01/2012,04/01/2012,RDF2201,RDF2201 - Redclyffe,46.60
03/01/2012,04/01/2012,SFD2201,SFD2201 - Stratford,49.19
03/01/2012,04/01/2012,HAY2201,HAY2201 - Haywards,50.24
03/01/2012,04/01/2012,ISL2201,ISL2201 - Islington,55.36
03/01/2012,04/01/2012,BEN2201,BEN2201 - Benmore,53.29
03/01/2012,04/01/2012,INV2201,INV2201 - Invercargill,59.55
04/01/2012,05/01/2012,OTA2201,OTA2201 - Otahuhu,36.30
04/01/2012,05/01/2012,WKM2201,WKM2201 - Whakamaru,33.50
04/01/2012,05/01/2012,RDF2201,RDF2201 - Redclyffe,33.12
04/01/2012,05/01/2012,SFD2201,SFD2201 - Stratford,34.80
04/01/2012,05/01/2012,HAY2201,HAY2201 - Haywards,34.87
04/01/2012,05/01/2012,ISL2201,ISL2201 - Islington,38.60
04/01/2012,05/01/2012,BEN2201,BEN2201 - Benmore,36.51
04/01/2012,05/01/2012,INV2201,INV2201 - Invercargill,41.08
05/01/2012,06/01/2012,OTA2201,OTA2201 - Otahuhu,29.00
05/01/2012,06/01/2012,WKM2201,WKM2201 - Whakamaru,26.71
05/01/2012,06/01/2012,RDF2201,RDF2201 - Redclyffe,26.39
05/01/2012,06/01/2012,SFD2201,SFD2201 - Stratford,27.67
05/01/2012,06/01/2012,HAY2201,HAY2201 - Haywards,27.63
05/01/2012,06/01/2012,ISL2201,ISL2201 - Islington,34.70
05/01/2012,06/01/2012,BEN2201,BEN2201 - Benmore,33.05
05/01/2012,06/01/2012,INV2201,INV2201 - Invercargill,45.01
06/01/2012,07/01/2012,OTA2201,OTA2201 - Otahuhu,51.96
06/01/2012,07/01/2012,WKM2201,WKM2201 - Whakamaru,48.26
06/01/2012,07/01/2012,RDF2201,RDF2201 - Redclyffe,47.69
06/01/2012,07/01/2012,SFD2201,SFD2201 - Stratford,50.68
06/01/2012,07/01/2012,HAY2201,HAY2201 - Haywards,50.59
06/01/2012,07/01/2012,ISL2201,ISL2201 - Islington,55.70
06/01/2012,07/01/2012,BEN2201,BEN2201 - Benmore,52.52
06/01/2012,07/01/2012,INV2201,INV2201 - Invercargill,63.83
07/01/2012,08/01/2012,OTA2201,OTA2201 - Otahuhu,45.03
07/01/2012,08/01/2012,WKM2201,WKM2201 - Whakamaru,42.37
07/01/2012,08/01/2012,RDF2201,RDF2201 - Redclyffe,41.98
07/01/2012,08/01/2012,SFD2201,SFD2201 - Stratford,45.66
07/01/2012,08/01/2012,HAY2201,HAY2201 - Haywards,45.50
07/01/2012,08/01/2012,ISL2201,ISL2201 - Islington,46.47
07/01/2012,08/01/2012,BEN2201,BEN2201 - Benmore,44.60
07/01/2012,08/01/2012,INV2201,INV2201 - Invercargill,50.72
08/01/2012,09/01/2012,OTA2201,OTA2201 - Otahuhu,28.52
08/01/2012,09/01/2012,WKM2201,WKM2201 - Whakamaru,26.31
08/01/2012,09/01/2012,RDF2201,RDF2201 - Redclyffe,26.03
08/01/2012,09/01/2012,SFD2201,SFD2201 - Stratford,28.62
08/01/2012,09/01/2012,HAY2201,HAY2201 - Haywards,28.43
08/01/2012,09/01/2012,ISL2201,ISL2201 - Islington,37.16
08/01/2012,09/01/2012,BEN2201,BEN2201 - Benmore,34.92
08/01/2012,09/01/2012,INV2201,INV2201 - Invercargill,41.10
09/01/2012,10/01/2012,OTA2201,OTA2201 - Otahuhu,67.56
09/01/2012,10/01/2012,WKM2201,WKM2201 - Whakamaru,62.60
09/01/2012,10/01/2012,RDF2201,RDF2201 - Redclyffe,61.79
09/01/2012,10/01/2012,SFD2201,SFD2201 - Stratford,65.15
09/01/2012,10/01/2012,HAY2201,HAY2201 - Haywards,66.95
09/01/2012,10/01/2012,ISL2201,ISL2201 - Islington,74.44
09/01/2012,10/01/2012,BEN2201,BEN2201 - Benmore,71.43
09/01/2012,10/01/2012,INV2201,INV2201 - Invercargill,81.94
10/01/2012,11/01/2012,OTA2201,OTA2201 - Otahuhu,86.12
10/01/2012,11/01/2012,WKM2201,WKM2201 - Whakamaru,80.09
10/01/2012,11/01/2012,RDF2201,RDF2201 - Redclyffe,79.32
10/01/2012,11/01/2012,SFD2201,SFD2201 - Stratford,84.81
10/01/2012,11/01/2012,HAY2201,HAY2201 - Haywards,87.35
10/01/2012,11/01/2012,ISL2201,ISL2201 - Islington,89.95
